date,equity,position
2024-09-04,100000.0,0
2024-09-05,100000.0,0
2024-09-06,100000.0,0
2024-09-09,100000.0,0
2024-09-10,100000.0,0
2024-09-11,100000.0,0
2024-09-12,100000.0,0
2024-09-13,100000.0,0
2024-09-16,100000.0,0
2024-09-17,100000.0,0
2024-09-18,100000.0,0
2024-09-19,100000.0,0
2024-09-20,100000.0,0
2024-09-23,100000.0,0
2024-09-24,100000.0,0
2024-09-25,100000.0,0
2024-09-26,100000.0,0
2024-09-27,100000.0,0
2024-09-30,100000.0,0
2024-10-01,100000.0,0
2024-10-02,100000.0,0
2024-10-03,100000.0,0
2024-10-04,100000.0,0
2024-10-07,100000.0,0
2024-10-08,100000.0,0
2024-10-09,100000.0,0
2024-10-10,100000.0,0
2024-10-11,100000.0,0
2024-10-14,100000.0,0
2024-10-15,100000.0,0
2024-10-16,100000.0,0
2024-10-17,100000.0,0
2024-10-18,97199.35363330098,1
2024-10-21,96703.29712380833,1
2024-10-22,95600.94698876017,1
2024-10-23,93148.22897670757,1
2024-10-24,95202.51287808368,0
2024-10-25,95202.51287808368,0
2024-10-28,95202.51287808368,0
2024-10-29,95202.51287808368,0
2024-10-30,95202.51287808368,0
2024-10-31,95202.51287808368,0
2024-11-01,95202.51287808368,0
2024-11-04,95202.51287808368,0
2024-11-05,95202.51287808368,0
2024-11-06,95202.51287808368,0
2024-11-07,95202.51287808368,0
2024-11-08,95202.51287808368,0
2024-11-11,95202.51287808368,0
2024-11-12,95202.51287808368,0
2024-11-13,95202.51287808368,0
2024-11-14,95202.51287808368,0
2024-11-15,95202.51287808368,0
2024-11-18,95202.51287808368,0
2024-11-19,95202.51287808368,0
2024-11-20,95202.51287808368,0
2024-11-21,95202.51287808368,0
2024-11-22,95202.51287808368,0
2024-11-25,95202.51287808368,0
2024-11-26,95202.51287808368,0
2024-11-27,95202.51287808368,0
2024-11-29,95202.51287808368,0
2024-12-02,95202.51287808368,0
2024-12-03,95202.51287808368,0
2024-12-04,95202.51287808368,0
2024-12-05,95202.51287808368,0
2024-12-06,95202.51287808368,0
2024-12-09,95202.51287808368,0
2024-12-10,95202.51287808368,0
2024-12-11,95202.51287808368,0
2024-12-12,95202.51287808368,0
2024-12-13,95202.51287808368,0
2024-12-16,95202.51287808368,0
2024-12-17,95202.51287808368,0
2024-12-18,95202.51287808368,0
2024-12-19,95202.51287808368,0
2024-12-20,95202.51287808368,0
2024-12-23,95202.51287808368,0
2024-12-24,95202.51287808368,0
2024-12-26,95202.51287808368,0
2024-12-27,95202.51287808368,0
2024-12-30,95202.51287808368,0
2024-12-31,95202.51287808368,0
2025-01-02,95202.51287808368,0
2025-01-03,95202.51287808368,0
2025-01-06,95202.51287808368,0
2025-01-07,95202.51287808368,0
2025-01-08,95202.51287808368,0
2025-01-10,95202.51287808368,0
2025-01-13,95202.51287808368,0
2025-01-14,95202.51287808368,0
2025-01-15,95202.51287808368,0
2025-01-16,95202.51287808368,0
2025-01-17,95202.51287808368,0
2025-01-21,95202.51287808368,0
2025-01-22,95202.51287808368,0
2025-01-23,95202.51287808368,0
2025-01-24,95202.51287808368,0
2025-01-27,95202.51287808368,0
2025-01-28,95202.51287808368,0
2025-01-29,95202.51287808368,0
2025-01-30,95202.51287808368,0
2025-01-31,95202.51287808368,0
2025-02-03,95202.51287808368,0
2025-02-04,95202.51287808368,0
2025-02-05,95202.51287808368,0
2025-02-06,95202.51287808368,0
2025-02-07,95202.51287808368,0
2025-02-10,95202.51287808368,0
2025-02-11,95202.51287808368,0
2025-02-12,95202.51287808368,0
2025-02-13,95202.51287808368,0
2025-02-14,95202.51287808368,0
2025-02-18,95202.51287808368,0
2025-02-19,95202.51287808368,0
2025-02-20,95202.51287808368,0
2025-02-21,95202.51287808368,0
2025-02-24,95202.51287808368,0
2025-02-25,95202.51287808368,0
2025-02-26,95202.51287808368,0
2025-02-27,95202.51287808368,0
2025-02-28,95202.51287808368,0
2025-03-03,95202.51287808368,0
2025-03-04,95202.51287808368,0
2025-03-05,95202.51287808368,0
2025-03-06,95202.51287808368,0
2025-03-07,95202.51287808368,0
2025-03-10,95202.51287808368,0
2025-03-11,95202.51287808368,0
2025-03-12,95202.51287808368,0
2025-03-13,95202.51287808368,0
2025-03-14,95202.51287808368,0
2025-03-17,95202.51287808368,0
2025-03-18,95202.51287808368,0
2025-03-19,95202.51287808368,0
2025-03-20,95202.51287808368,0
2025-03-21,95202.51287808368,0
2025-03-24,95202.51287808368,0
2025-03-25,95202.51287808368,0
2025-03-26,95202.51287808368,0
2025-03-27,95202.51287808368,0
2025-03-28,95202.51287808368,0
2025-03-31,95202.51287808368,0
2025-04-01,95202.51287808368,0
2025-04-02,95202.51287808368,0
2025-04-03,95202.51287808368,0
2025-04-04,95202.51287808368,0
2025-04-07,95202.51287808368,0
2025-04-08,95202.51287808368,0
2025-04-09,95202.51287808368,0
2025-04-10,95202.51287808368,0
2025-04-11,95202.51287808368,0
2025-04-14,95202.51287808368,0
2025-04-15,95202.51287808368,0
2025-04-16,95202.51287808368,0
2025-04-17,95202.51287808368,0
2025-04-21,95202.51287808368,0
2025-04-22,95202.51287808368,0
2025-04-23,95202.51287808368,0
2025-04-24,95202.51287808368,0
2025-04-25,95202.51287808368,0
2025-04-28,95202.51287808368,0
2025-04-29,95202.51287808368,0
2025-04-30,95202.51287808368,0
2025-05-01,95202.51287808368,0
2025-05-02,95202.51287808368,0
2025-05-05,95202.51287808368,0
2025-05-06,95202.51287808368,0
2025-05-07,95202.51287808368,0
2025-05-08,95202.51287808368,0
2025-05-09,95202.51287808368,0
2025-05-12,95202.51287808368,0
2025-05-13,95202.51287808368,0
2025-05-14,95202.51287808368,0
2025-05-15,95202.51287808368,0
2025-05-16,95202.51287808368,0
2025-05-19,95202.51287808368,0
2025-05-20,95202.51287808368,0
2025-05-21,95202.51287808368,0
2025-05-22,95202.51287808368,0
2025-05-23,95202.51287808368,0
2025-05-27,95202.51287808368,0
2025-05-28,92979.36018081894,1
2025-05-29,93852.40493681132,1
2025-05-30,88232.17021353521,1
2025-06-02,92215.43821368978,1
2025-06-03,92286.758870248,0
2025-06-04,92286.758870248,0
2025-06-05,92286.758870248,0
2025-06-06,92286.758870248,0
2025-06-09,92286.758870248,0
2025-06-10,92286.758870248,0
2025-06-11,92286.758870248,0
2025-06-12,92286.758870248,0
2025-06-13,92286.758870248,0
2025-06-16,92286.758870248,0
2025-06-17,91383.96662150945,1
2025-06-18,92194.56430594207,1
2025-06-20,90488.04115191437,1
2025-06-23,92066.57262819835,1
2025-06-24,96577.49307475911,0
2025-06-25,96577.49307475911,0
2025-06-26,96577.49307475911,0
2025-06-27,96577.49307475911,0
2025-06-30,96577.49307475911,0
2025-07-01,96577.49307475911,0
2025-07-02,96577.49307475911,0
2025-07-03,96577.49307475911,0
2025-07-07,96577.49307475911,0
2025-07-08,96577.49307475911,0
2025-07-09,96577.49307475911,0
2025-07-10,96577.49307475911,0
2025-07-11,96577.49307475911,0
2025-07-14,96577.49307475911,0
2025-07-15,96577.49307475911,0
2025-07-16,96577.49307475911,0
2025-07-17,96577.49307475911,0
2025-07-18,96577.49307475911,0
2025-07-21,96577.49307475911,0
2025-07-22,96577.49307475911,0
2025-07-23,96577.49307475911,0
2025-07-24,96577.49307475911,0
2025-07-25,96577.49307475911,0
2025-07-28,96577.49307475911,0
2025-07-29,95143.44534187068,1
2025-07-30,97184.99878758258,1
2025-07-31,87927.60490978992,1
2025-08-01,84759.67807523215,1
2025-08-04,86468.28334316703,0
2025-08-05,83323.53487555153,1
2025-08-06,81522.49368985323,1
2025-08-07,84954.66284664068,1
2025-08-08,87367.3721603526,1
2025-08-11,88366.34249198252,0
2025-08-12,88366.34249198252,0
2025-08-13,88366.34249198252,0
2025-08-14,88366.34249198252,0
2025-08-15,88366.34249198252,0
2025-08-18,88366.34249198252,0
2025-08-19,88366.34249198252,0
2025-08-20,88366.34249198252,0
2025-08-21,88366.34249198252,0
2025-08-22,88366.34249198252,0
2025-08-25,88116.67487779119,1
2025-08-26,90182.41802009493,1
2025-08-27,90957.06938981566,1
2025-08-28,92086.7716126349,1
2025-08-29,88093.049466999,0
2025-09-02,88093.049466999,0
2025-09-03,88093.049466999,0
2025-09-04,88093.049466999,0
2025-09-05,88093.049466999,0
2025-09-08,88093.049466999,0
2025-09-09,88093.049466999,0
2025-09-10,88093.049466999,0
2025-09-11,88093.049466999,0
2025-09-12,88093.049466999,0
2025-09-15,88093.049466999,0
2025-09-16,88093.049466999,0
2025-09-17,88093.049466999,0
2025-09-18,88093.049466999,0
2025-09-19,88093.049466999,0
2025-09-22,88093.049466999,0
2025-09-23,88093.049466999,0
2025-09-24,88093.049466999,0
2025-09-25,88093.049466999,0
2025-09-26,88093.049466999,0
2025-09-29,88093.049466999,0
2025-09-30,88093.049466999,0
2025-10-01,88093.049466999,0
2025-10-02,88093.049466999,0
2025-10-03,88093.049466999,0
2025-10-06,88093.049466999,0
2025-10-07,88093.049466999,0
2025-10-08,88093.049466999,0
2025-10-09,88093.049466999,0
2025-10-10,88093.049466999,0
2025-10-13,88093.049466999,0
2025-10-14,88029.08151894338,1
2025-10-15,96079.78531822436,1
2025-10-16,97497.67147748951,1
2025-10-17,96824.77945867425,1
2025-10-20,98816.64207911793,0
2025-10-21,98816.64207911793,0
2025-10-22,98816.64207911793,0
2025-10-23,98816.64207911793,0
2025-10-24,98058.7418343843,1
2025-10-27,106468.97421114145,1
2025-10-28,106741.7360203341,1
2025-10-29,112242.4859765255,1
2025-10-30,110131.97026443885,0
2025-10-31,110131.97026443885,0
2025-11-03,110131.97026443885,0
2025-11-04,110131.97026443885,0
2025-11-05,110131.97026443885,0
2025-11-06,101851.99969127297,1
2025-11-07,98844.51997154565,1
2025-11-10,106469.79752563038,1
2025-11-11,99010.28628574837,1
2025-11-12,104115.88011804961,0
2025-11-13,104115.88011804961,0
2025-11-14,104115.88011804961,0
2025-11-17,104115.88011804961,0
2025-11-18,104115.88011804961,0
2025-11-19,104115.88011804961,0
2025-11-20,104115.88011804961,0
2025-11-21,104115.88011804961,0
2025-11-24,104115.88011804961,0
2025-11-25,104115.88011804961,0
2025-11-26,104115.88011804961,0
2025-11-28,104115.88011804961,0
2025-12-01,104115.88011804961,0
2025-12-02,104115.88011804961,0
2025-12-03,104115.88011804961,0
2025-12-04,104115.88011804961,0
2025-12-05,104115.88011804961,0
2025-12-08,104115.88011804961,0
2025-12-09,104115.88011804961,0
2025-12-10,104115.88011804961,0
2025-12-11,104115.88011804961,0
2025-12-12,104115.88011804961,0
2025-12-15,104115.88011804961,0
2025-12-16,104115.88011804961,0
2025-12-17,104115.88011804961,0
2025-12-18,104115.88011804961,0
2025-12-19,104115.88011804961,0
2025-12-22,104115.88011804961,0
2025-12-23,104115.88011804961,0
2025-12-24,104115.88011804961,0
2025-12-26,104115.88011804961,0
2025-12-29,104115.88011804961,0
2025-12-30,104115.88011804961,0
2025-12-31,104115.88011804961,0
2026-01-02,104115.88011804961,0
2026-01-05,101677.54592592616,1
2026-01-06,111572.61171474708,1
2026-01-07,108019.48065208319,1
2026-01-08,102565.8306616706,1
2026-01-09,105435.0061423937,0
2026-01-12,105435.0061423937,0
2026-01-13,105435.0061423937,0
2026-01-14,105435.0061423937,0
2026-01-15,105435.0061423937,0
2026-01-16,105435.0061423937,0
2026-01-20,105435.0061423937,0
2026-01-21,105435.0061423937,0
2026-01-22,105435.0061423937,0
2026-01-23,105435.0061423937,0
2026-01-26,105435.0061423937,0
2026-01-27,105435.0061423937,0
2026-01-28,105435.0061423937,0
2026-01-29,105435.0061423937,0
2026-01-30,105435.0061423937,0
2026-02-02,105435.0061423937,0
2026-02-03,96485.2045447467,1
2026-02-04,83856.99073946087,1
2026-02-05,83951.58624114026,1
2026-02-06,97352.30892751947,1
2026-02-09,94482.99612613031,0
2026-02-10,94482.99612613031,0
2026-02-11,94482.99612613031,0
2026-02-12,94482.99612613031,0
2026-02-13,94482.99612613031,0
2026-02-17,94482.99612613031,0
2026-02-18,94482.99612613031,0
2026-02-19,94482.99612613031,0
2026-02-20,94482.99612613031,0
2026-02-23,94482.99612613031,0
2026-02-24,94482.99612613031,0
2026-02-25,94482.99612613031,0
2026-02-26,94482.99612613031,0
2026-02-27,94482.99612613031,0
2026-03-02,94482.99612613031,0
2026-03-03,94482.99612613031,0
2026-03-04,94482.99612613031,0
2026-03-05,94482.99612613031,0
2026-03-06,94482.99612613031,0
2026-03-09,94482.99612613031,0
2026-03-10,94482.99612613031,0
2026-03-11,94482.99612613031,0
2026-03-12,94482.99612613031,0
2026-03-13,94482.99612613031,0
2026-03-16,94482.99612613031,0
2026-03-17,94482.99612613031,0
2026-03-18,94482.99612613031,0
2026-03-19,94482.99612613031,0
2026-03-20,94482.99612613031,0
2026-03-23,94482.99612613031,0
2026-03-24,94482.99612613031,0
2026-03-25,94482.99612613031,0
2026-03-26,94482.99612613031,0
2026-03-27,94482.99612613031,0
2026-03-30,94482.99612613031,0
2026-03-31,94482.99612613031,0
2026-04-01,94482.99612613031,0
2026-04-02,94482.99612613031,0
2026-04-06,94482.99612613031,0
2026-04-07,94482.99612613031,0
2026-04-08,94482.99612613031,0
2026-04-09,94482.99612613031,0
2026-04-10,94482.99612613031,0
2026-04-13,94482.99612613031,0
2026-04-14,94482.99612613031,0
2026-04-15,94482.99612613031,0
2026-04-16,94482.99612613031,0
2026-04-17,94482.99612613031,0
2026-04-20,94482.99612613031,0
2026-04-21,94482.99612613031,0
2026-04-22,94482.99612613031,0
2026-04-23,94482.99612613031,0
2026-04-24,94482.99612613031,0
2026-04-27,94482.99612613031,0
2026-04-28,94482.99612613031,0
2026-04-29,94482.99612613031,0
2026-04-30,97593.56679289266,1
2026-05-01,100222.08361702994,1
2026-05-04,98031.65390754162,1
2026-05-05,110797.67344716718,1
2026-05-06,121190.45243454377,0
2026-05-07,121190.45243454377,0
2026-05-08,121190.45243454377,0
2026-05-11,121190.45243454377,0
2026-05-12,121190.45243454377,0
2026-05-13,121190.45243454377,0
2026-05-14,121190.45243454377,0
2026-05-15,121190.45243454377,0
2026-05-18,121190.45243454377,0
2026-05-19,121190.45243454377,0
2026-05-20,130243.58245368964,1
2026-05-21,134146.37992957034,1
2026-05-22,143298.02073734673,1
2026-05-26,169790.4048841782,1
2026-05-27,182293.90209757639,0
2026-05-28,182293.90209757639,0
2026-05-29,182293.90209757639,0
2026-06-01,182293.90209757639,0
2026-06-02,182293.90209757639,0
2026-06-03,182293.90209757639,0
2026-06-04,182293.90209757639,0
2026-06-05,182293.90209757639,0
2026-06-08,182293.90209757639,0
2026-06-09,161755.94525788527,1
2026-06-10,144888.99040438165,1
2026-06-11,179649.525895766,1
2026-06-12,188223.35098658063,1
2026-06-15,213121.96746404903,0
2026-06-16,213121.96746404903,0
2026-06-17,213121.96746404903,0
2026-06-18,213121.96746404903,0
2026-06-22,213121.96746404903,0
2026-06-23,213121.96746404903,0
2026-06-24,213121.96746404903,0
2026-06-25,213121.96746404903,0
2026-06-26,202896.009446647,1
2026-06-29,222583.3194000253,1
