date,equity,position
2016-09-06,100000.0,0
2016-09-07,100000.0,0
2016-09-08,100000.0,0
2016-09-09,100000.0,0
2016-09-12,100000.0,0
2016-09-13,100000.0,0
2016-09-14,100000.0,0
2016-09-15,100000.0,0
2016-09-16,100000.0,0
2016-09-19,100000.0,0
2016-09-20,100000.0,0
2016-09-21,100000.0,0
2016-09-22,100000.0,0
2016-09-23,100000.0,0
2016-09-26,100000.0,0
2016-09-27,100000.0,0
2016-09-28,100000.0,0
2016-09-29,100000.0,0
2016-09-30,100000.0,0
2016-10-03,100000.0,0
2016-10-04,100000.0,0
2016-10-05,100000.0,0
2016-10-06,100000.0,0
2016-10-07,100000.0,0
2016-10-10,100000.0,0
2016-10-11,100000.0,0
2016-10-12,100000.0,0
2016-10-13,100000.0,0
2016-10-14,100000.0,0
2016-10-17,100000.0,0
2016-10-18,100000.0,0
2016-10-19,100000.0,0
2016-10-20,100000.0,0
2016-10-21,100000.0,0
2016-10-24,100000.0,0
2016-10-25,100000.0,0
2016-10-26,100000.0,0
2016-10-27,100000.0,0
2016-10-28,100000.0,0
2016-10-31,100000.0,0
2016-11-01,100000.0,0
2016-11-02,100000.0,0
2016-11-03,100000.0,0
2016-11-04,100000.0,0
2016-11-07,100000.0,0
2016-11-08,100000.0,0
2016-11-09,100000.0,0
2016-11-10,100000.0,0
2016-11-11,100000.0,0
2016-11-14,100000.0,0
2016-11-15,100000.0,0
2016-11-16,100000.0,0
2016-11-17,100000.0,0
2016-11-18,100000.0,0
2016-11-21,100000.0,0
2016-11-22,100000.0,0
2016-11-23,100000.0,0
2016-11-25,100000.0,0
2016-11-28,100000.0,0
2016-11-29,100000.0,0
2016-11-30,100000.0,0
2016-12-01,100000.0,0
2016-12-02,100000.0,0
2016-12-05,100000.0,0
2016-12-06,100000.0,0
2016-12-07,100000.0,0
2016-12-08,100000.0,0
2016-12-09,100000.0,0
2016-12-12,100000.0,0
2016-12-13,100000.0,0
2016-12-14,100000.0,0
2016-12-15,100000.0,0
2016-12-16,100000.0,0
2016-12-19,100000.0,0
2016-12-20,100000.0,0
2016-12-21,100000.0,0
2016-12-22,100000.0,0
2016-12-23,100000.0,0
2016-12-27,100000.0,0
2016-12-28,100000.0,0
2016-12-29,100000.0,0
2016-12-30,100000.0,0
2017-01-03,100000.0,0
2017-01-04,100000.0,0
2017-01-05,100000.0,0
2017-01-06,100000.0,0
2017-01-09,100000.0,0
2017-01-10,100000.0,0
2017-01-11,100000.0,0
2017-01-12,100000.0,0
2017-01-13,100000.0,0
2017-01-17,100000.0,0
2017-01-18,100000.0,0
2017-01-19,100000.0,0
2017-01-20,100000.0,0
2017-01-23,100000.0,0
2017-01-24,100000.0,0
2017-01-25,100000.0,0
2017-01-26,100000.0,0
2017-01-27,100000.0,0
2017-01-30,100000.0,0
2017-01-31,100000.0,0
2017-02-01,100000.0,0
2017-02-02,100000.0,0
2017-02-03,100000.0,0
2017-02-06,100000.0,0
2017-02-07,100000.0,0
2017-02-08,100000.0,0
2017-02-09,100000.0,0
2017-02-10,100000.0,0
2017-02-13,100000.0,0
2017-02-14,100000.0,0
2017-02-15,100000.0,0
2017-02-16,100000.0,0
2017-02-17,100000.0,0
2017-02-21,100784.16208271736,1
2017-02-22,100796.11838405122,1
2017-02-23,99708.93580032869,1
2017-02-24,100246.54552348376,1
2017-02-27,100545.2274662389,1
2017-02-28,99756.73366135001,1
2017-03-01,102982.398836359,1
2017-03-02,101357.61336555991,1
2017-03-03,101883.26678738114,1
2017-03-06,100683.37792063465,0
2017-03-07,100683.37792063465,0
2017-03-08,100683.37792063465,0
2017-03-09,100683.37792063465,0
2017-03-10,100683.37792063465,0
2017-03-13,100683.37792063465,0
2017-03-14,100683.37792063465,0
2017-03-15,100683.37792063465,0
2017-03-16,100683.37792063465,0
2017-03-17,100683.37792063465,0
2017-03-20,100683.37792063465,0
2017-03-21,100683.37792063465,0
2017-03-22,100683.37792063465,0
2017-03-23,100683.37792063465,0
2017-03-24,100683.37792063465,0
2017-03-27,100683.37792063465,0
2017-03-28,100683.37792063465,0
2017-03-29,100683.37792063465,0
2017-03-30,100683.37792063465,0
2017-03-31,100683.37792063465,0
2017-04-03,100683.37792063465,0
2017-04-04,100683.37792063465,0
2017-04-05,100683.37792063465,0
2017-04-06,100683.37792063465,0
2017-04-07,100683.37792063465,0
2017-04-10,100683.37792063465,0
2017-04-11,100683.37792063465,0
2017-04-12,100683.37792063465,0
2017-04-13,100683.37792063465,0
2017-04-17,100683.37792063465,0
2017-04-18,100683.37792063465,0
2017-04-19,100683.37792063465,0
2017-04-20,100683.37792063465,0
2017-04-21,100683.37792063465,0
2017-04-24,100683.37792063465,0
2017-04-25,100683.37792063465,0
2017-04-26,100683.37792063465,0
2017-04-27,100683.37792063465,0
2017-04-28,100683.37792063465,0
2017-05-01,100683.37792063465,0
2017-05-02,100683.37792063465,0
2017-05-03,100201.90598222928,1
2017-05-04,100304.85631697884,1
2017-05-05,101396.03090860012,1
2017-05-08,102003.36602219196,1
2017-05-09,103125.42924840683,1
2017-05-10,103290.109730094,1
2017-05-11,103043.05955615727,1
2017-05-12,103712.18371949867,1
2017-05-15,104679.8037727456,1
2017-05-16,105997.45967636602,1
2017-05-17,97978.4014042679,1
2017-05-18,100459.2641482596,1
2017-05-19,101673.96971713044,1
2017-05-22,104309.22262155931,1
2017-05-23,104566.58078758963,1
2017-05-24,105336.14047724605,0
2017-05-25,105336.14047724605,0
2017-05-26,105336.14047724605,0
2017-05-30,105336.14047724605,0
2017-05-31,105336.14047724605,0
2017-06-01,105336.14047724605,0
2017-06-02,105336.14047724605,0
2017-06-05,105336.14047724605,0
2017-06-06,105336.14047724605,0
2017-06-07,105336.14047724605,0
2017-06-08,105336.14047724605,0
2017-06-09,105336.14047724605,0
2017-06-12,105336.14047724605,0
2017-06-13,105336.14047724605,0
2017-06-14,105336.14047724605,0
2017-06-15,105336.14047724605,0
2017-06-16,105336.14047724605,0
2017-06-19,105336.14047724605,0
2017-06-20,105336.14047724605,0
2017-06-21,105336.14047724605,0
2017-06-22,105336.14047724605,0
2017-06-23,105336.14047724605,0
2017-06-26,105336.14047724605,0
2017-06-27,105336.14047724605,0
2017-06-28,105336.14047724605,0
2017-06-29,105336.14047724605,0
2017-06-30,105336.14047724605,0
2017-07-03,105336.14047724605,0
2017-07-05,105336.14047724605,0
2017-07-06,105336.14047724605,0
2017-07-07,105336.14047724605,0
2017-07-10,105336.14047724605,0
2017-07-11,105336.14047724605,0
2017-07-12,105336.14047724605,0
2017-07-13,105336.14047724605,0
2017-07-14,105336.14047724605,0
2017-07-17,105336.14047724605,0
2017-07-18,105336.14047724605,0
2017-07-19,105336.14047724605,0
2017-07-20,105336.14047724605,0
2017-07-21,105336.14047724605,0
2017-07-24,105336.14047724605,0
2017-07-25,105336.14047724605,0
2017-07-26,105336.14047724605,0
2017-07-27,105336.14047724605,0
2017-07-28,105336.14047724605,0
2017-07-31,105336.14047724605,0
2017-08-01,105336.14047724605,0
2017-08-02,105336.14047724605,0
2017-08-03,105336.14047724605,0
2017-08-04,105336.14047724605,0
2017-08-07,105336.14047724605,0
2017-08-08,105336.14047724605,0
2017-08-09,105336.14047724605,0
2017-08-10,105336.14047724605,0
2017-08-11,105336.14047724605,0
2017-08-14,105336.14047724605,0
2017-08-15,105336.14047724605,0
2017-08-16,105336.14047724605,0
2017-08-17,105336.14047724605,0
2017-08-18,105336.14047724605,0
2017-08-21,105336.14047724605,0
2017-08-22,105336.14047724605,0
2017-08-23,105336.14047724605,0
2017-08-24,105336.14047724605,0
2017-08-25,105336.14047724605,0
2017-08-28,105336.14047724605,0
2017-08-29,105336.14047724605,0
2017-08-30,105336.14047724605,0
2017-08-31,105336.14047724605,0
2017-09-01,105336.14047724605,0
2017-09-05,105336.14047724605,0
2017-09-06,105336.14047724605,0
2017-09-07,105336.14047724605,0
2017-09-08,105336.14047724605,0
2017-09-11,105336.14047724605,0
2017-09-12,105336.14047724605,0
2017-09-13,105336.14047724605,0
2017-09-14,105336.14047724605,0
2017-09-15,105336.14047724605,0
2017-09-18,105336.14047724605,0
2017-09-19,105336.14047724605,0
2017-09-20,105336.14047724605,0
2017-09-21,105336.14047724605,0
2017-09-22,105336.14047724605,0
2017-09-25,105336.14047724605,0
2017-09-26,105336.14047724605,0
2017-09-27,105336.14047724605,0
2017-09-28,105336.14047724605,0
2017-09-29,105336.14047724605,0
2017-10-02,105336.14047724605,0
2017-10-03,105336.14047724605,0
2017-10-04,105336.14047724605,0
2017-10-05,105336.14047724605,0
2017-10-06,105336.14047724605,0
2017-10-09,105336.14047724605,0
2017-10-10,105336.14047724605,0
2017-10-11,105336.14047724605,0
2017-10-12,105336.14047724605,0
2017-10-13,105336.14047724605,0
2017-10-16,105336.14047724605,0
2017-10-17,105336.14047724605,0
2017-10-18,105336.14047724605,0
2017-10-19,105336.14047724605,0
2017-10-20,105336.14047724605,0
2017-10-23,105336.14047724605,0
2017-10-24,105336.14047724605,0
2017-10-25,105336.14047724605,0
2017-10-26,105336.14047724605,0
2017-10-27,105336.14047724605,0
